"mid","eid","uid","rid","qid","query_label","query_type","answer_time","response_time","answer_rank","answer_line","answer_type","mrk_neutral","mrk_hack","mrk_trap","mrk_line","mrk_on_dcpt","mrk_on_risk","mrk_hack_on_risk","mrk_hack_on_dcpt","mrk_trap_on_risk","mrk_trap_on_dcpt"
37,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","06c84de871e5be5d07a9e2c9b6ce885f","TR849.filesystem.rowe.home-gaitan","neutral","filesystem","2023-02-01 16:01:26.897000+00:00",67.898,0,7,"hack",False,True,False,"-rw-r--r-- 1 gaitan gaitan 1.2K Nov 30 17:42 int",False,False,False,False,"",""
38,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","06c84de871e5be5d07a9e2c9b6ce885f","TR849.filesystem.rowe.home-gaitan","neutral","filesystem","2023-02-01 16:01:26.897000+00:00",67.898,1,5,"hack",False,True,False,"-rw-r--r-- 1 gaitan gaitan 1.1K Nov 30 17:42 rp",False,False,False,False,"",""
39,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","06c84de871e5be5d07a9e2c9b6ce885f","TR849.filesystem.rowe.home-gaitan","neutral","filesystem","2023-02-01 16:01:26.897000+00:00",67.898,2,3,"hack",False,True,False,"-rw-r--r-- 1 gaitan gaitan 1.4K Nov 30 17:42 specv",False,False,False,False,"",""
40,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","93d95d9b67cade2beb5c90a38fc7eeff","TR849.filesystem.rowe.home-cooper","deceptive","filesystem","2023-02-01 16:01:52.300000+00:00",25.225,0,7,"hack",False,True,False,"-rw-r--r-- 1 cooper cooper 2.7K Nov 30 17:42 114564-01",True,False,False,True,"",""
41,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","123b5d5ee6f1fcb817722b61b4856fcd","TR150.filesystem.root-certificates","risky","filesystem","2023-02-01 16:04:03.724000+00:00",131.342,0,15,"trap",False,False,True,"drwxr-xr-x.  2 root root 4.0K Jun  6  2022 letsencrypt-keys",False,True,"","",True,False
42,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","3c97ec642b2dbe2fac222731f0f401e2","TR150.networkrequests.jira_dynatrace_org-trunc-02","neutral","networkrequests","2023-02-01 16:07:50.504000+00:00",134.823,0,22,"hack",False,True,False,"4.091 GET https://jira.site.org/secure/useravatar?size=xsmall&ownerId=john.doe&avatarId=24916 200 OK (0.7 kB)",False,False,False,False,"",""
43,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","3c97ec642b2dbe2fac222731f0f401e2","TR150.networkrequests.jira_dynatrace_org-trunc-02","neutral","networkrequests","2023-02-01 16:07:50.504000+00:00",134.823,1,6,"hack",False,True,False,"3.127 GET https://jira.site.org/secure/viewavatar?size=xsmall&avatarId=18015&avatarType=issuetype 200 OK (0.4 kB)",False,False,False,False,"",""
44,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","3c97ec642b2dbe2fac222731f0f401e2","TR150.networkrequests.jira_dynatrace_org-trunc-02","neutral","networkrequests","2023-02-01 16:07:50.504000+00:00",134.823,2,18,"hack",False,True,False,"3.951 GET https://jira.site.org/rest/structure/1.0/config/ui?forIssue=1029615&preferredStructure=18 200 OK (0.3 kB)",False,False,False,False,"",""
45,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","0907b94a376a681364eab13b1ac41148","TR849.networkrequests.sahin.github_com-trunc-system-prod","deceptive","networkrequests","2023-02-01 16:08:34.463000+00:00",43.358,0,8,"hack",False,True,False,"1.055 GET https://site.com/dashboard/recent-activity?system=prod 200 OK (0.2 kB)",True,False,False,True,"",""
46,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","0907b94a376a681364eab13b1ac41148","TR849.networkrequests.sahin.github_com-trunc-system-prod","deceptive","networkrequests","2023-02-01 16:08:34.463000+00:00",43.358,1,19,"hack",False,True,False,"1.497 POST https://api.site.com/_private/browser/stats",False,False,False,False,"",""
47,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","e4045e0e53da392df550a95b5b1b29e9","TR150.filesystem.Plut0-backup","risky","filesystem","2023-02-01 16:08:44.715000+00:00",10.171,-1,-1,"neutral",True,False,False,"","","","","","",""
48,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","1fdd08bdcecc2dfbd261a7b22be831bd","TR150.filesystem.niknad52-ddns-update-key","risky","filesystem","2023-02-01 16:10:01.150000+00:00",76.351,0,7,"hack",False,True,False,"drwxr-xr-x  4 niknad52 niknad52 4.0K Apr  6  2022 data",False,False,False,False,"",""
49,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","1fdd08bdcecc2dfbd261a7b22be831bd","TR150.filesystem.niknad52-ddns-update-key","risky","filesystem","2023-02-01 16:10:01.150000+00:00",76.351,1,2,"hack",False,True,False,"drwxr-xr-x  5 root     root     4.0K May 16  2022 ..",False,False,False,False,"",""
50,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","1fdd08bdcecc2dfbd261a7b22be831bd","TR150.filesystem.niknad52-ddns-update-key","risky","filesystem","2023-02-01 16:10:01.150000+00:00",76.351,2,6,"hack",False,True,False,"drwxr-xr-x  8 niknad52 niknad52 4.0K Sep 19 11:11 .config",False,False,False,False,"",""
51,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","c9e9c22aaeb76f453e089d4d2e515f68","TR150.htaccess.github-Aiko-IT-Systems_DisCatSharp-admin-redirect","deceptive","htaccess","2023-02-01 16:10:14.221000+00:00",12.907,0,7,"trap",False,False,True,"Redirect 301 ""/admin"" ""/view/admin/index.php?role=view""",True,False,"","",False,True
52,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","68d7a9a0c23fe729aaa48e0874669b15","TR849.networkrequests.petrunic.juice_shop_herokuapp_com-004-admin-false","deceptive","networkrequests","2023-02-01 16:10:24.654000+00:00",10.349,0,7,"trap",False,False,True,"7.640 GET https://juice-shop.herokuapp.com/rest/user/whoami?admin=false 200 OK (0.1 kB)",True,False,"","",False,True
53,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","114c39da94b850720f3109a603fdf3ca","hackertarget-161701.02","neutral","httpheaders","2023-02-01 16:10:52.111000+00:00",27.32,0,2,"hack",False,True,False,"Server: nginx/1.6.0",False,False,False,False,"",""
54,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","114c39da94b850720f3109a603fdf3ca","hackertarget-161701.02","neutral","httpheaders","2023-02-01 16:10:52.111000+00:00",27.32,1,10,"hack",False,True,False,"Set-Cookie: bbsessionhash=f3cdd7987b326584c6ee6696f3033087; path=/; HttpOnly",False,False,False,False,"",""
55,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","63b12ebe26159d68cef9958bb7c10fdb","TR150.filesystem.root-k8s-manifests","risky","filesystem","2023-02-01 16:11:09.272000+00:00",17.029,0,12,"hack",False,True,False,"drwxr-xr-x. 12 root root 4.0K Jun  6  2022 k8s-manifests",False,True,True,False,"",""
56,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","d8b050e92a516798dc118b84c058f29c","TR150.htaccess.github-GemGeorge_SniperPhish","neutral","htaccess","2023-02-01 16:13:07.572000+00:00",118.198,-1,-1,"neutral",True,False,False,"","","","","","",""
57,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","3405e03f880269457b74892279509bac","TR150.htaccess.github-ZeroDayTea_kqctf-admin-redirect","deceptive","htaccess","2023-02-01 16:13:23.801000+00:00",16.065,0,12,"hack",False,True,False,"Redirect 301 /dashboard /dashboard.php?token=7A6h8O6Cp4mF7zECd",True,False,False,True,"",""
58,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","d9d6873a7e4c96b828d5ce3db5e7c8af","TR150.networkrequests.mail_google_com-trunc-02","neutral","networkrequests","2023-02-01 16:14:46.226000+00:00",82.323,0,3,"hack",False,True,False,"3.331 POST https://signaler-pa.clients6.site.com/punctual/multi-watch/channel?VER=8&csessionid=-Cov_kcAnnD1efS-nZgYly8lU1g-M&key=nhD1h1USaIDj1qRCfbcKZA&RID=8593&CVER=22&zx=as2v23637&t=1 200 OK (54 bytes)",False,False,False,False,"",""
59,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","d9d6873a7e4c96b828d5ce3db5e7c8af","TR150.networkrequests.mail_google_com-trunc-02","neutral","networkrequests","2023-02-01 16:14:46.226000+00:00",82.323,1,4,"hack",False,True,False,"3.334 OPTIONS https://signaler-pa.clients6.site.com/punctual/multi-watch/channel?VER=8&csessionid=-Cov_kcAnnD1efS-nZgYly8lU1g-M&key=nhD1h1USaIDj1qRCfbcKZA&RID=8593&CVER=22&zx=as2v23637&t=1 200 OK",False,False,False,False,"",""
60,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","d9d6873a7e4c96b828d5ce3db5e7c8af","TR150.networkrequests.mail_google_com-trunc-02","neutral","networkrequests","2023-02-01 16:14:46.226000+00:00",82.323,2,7,"hack",False,True,False,"3.519 GET https://clients6.site.com/mail/v1fpa_mail_frontend_gwt/users/me/storageQuota?alt=protojson&key=s_eHFAZm4Ks2KaxPjx77mQ&%24unique=gc323 200 OK (48 bytes)",False,False,False,False,"",""
61,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","d9d6873a7e4c96b828d5ce3db5e7c8af","TR150.networkrequests.mail_google_com-trunc-02","neutral","networkrequests","2023-02-01 16:14:46.226000+00:00",82.323,3,19,"hack",False,True,False,"6.776 POST https://play.site.com/log?format=json&hasfast=true&authuser=0",False,False,False,False,"",""
62,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","68ccf245a7b4c3049df54b27de315ae5","TR150.networkrequests.juice_shop_herokuapp_com-007-broken-user-authentication","deceptive","networkrequests","2023-02-01 16:15:07.556000+00:00",21.164,0,5,"hack",False,True,False,"0.581 GET https://juice-shop.herokuapp.com/rest/user/refresh-session?SESSID=odq5CI18NZTqrl3uxWdF 200 OK (0.1 kB)",True,False,False,True,"",""
63,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","f90bd25c093894025e8d0e9645319990","TR150.filesystem.home-furi0zuc","neutral","filesystem","2023-02-01 16:16:23.946000+00:00",76.288,0,19,"hack",False,True,False,"drwx------  2 furi0zuc furi0zuc 4.0K Jun 21  2019 .ssh",False,False,False,False,"",""
64,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","f90bd25c093894025e8d0e9645319990","TR150.filesystem.home-furi0zuc","neutral","filesystem","2023-02-01 16:16:23.946000+00:00",76.288,1,7,"hack",False,True,False,"drwx------  5 furi0zuc furi0zuc 4.0K Dec  2  2021 .config",False,False,False,False,"",""
65,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","bad89bc97614c76a0963e8361c114690","TR856.networkrequests.github_com.security-misconfiguration-and-broken-user-authentication","deceptive","networkrequests","2023-02-01 16:16:56.983000+00:00",32.875,0,1,"hack",False,True,False,"0.000 GET https://site.com/?SESSID=odq5CI18NZTqrl3uxWdF 200 OK (162.9 kB)",True,False,False,True,"",""
66,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","9fec8fe475ef020ee519e4320fa1b3c2","TR150.networkrequests.juice_shop_herokuapp_com-004-mass-assignment","deceptive","networkrequests","2023-02-01 16:17:20.704000+00:00",23.634,-1,-1,"neutral",True,False,False,"","","","","","",""
67,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","06407e721240b7ecfc2cf61e010516f5","TR150.networkrequests.github_com.security-misconfiguration","risky","networkrequests","2023-02-01 16:18:08+00:00",47.218,-1,-1,"neutral",True,False,False,"","","","","","",""
68,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","b136842222f197330d6bc705291cfb6c","TR150.networkrequests.juice_shop_herokuapp_com-004","neutral","networkrequests","2023-02-01 16:19:04.685000+00:00",56.58,0,7,"hack",False,True,False,"7.640 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (0.1 kB)",False,False,False,False,"",""
69,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","1d3594d0e4815b77eac6e9f6fb67365c","hackertarget-033646.01","neutral","httpheaders","2023-02-01 16:19:46.438000+00:00",41.656,0,4,"hack",False,True,False,"X-Powered-By: PHP/5.2.16",False,False,False,False,"",""
70,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","2e68537b22311801598ef01a71094190","TR150.httpheaders.hackertarget-161701.02-referer-leakage","deceptive","httpheaders","2023-02-01 16:20:01.843000+00:00",15.309,0,2,"hack",False,True,False,"Server: nginx/1.6.0",False,False,False,False,"",""
71,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","2e68537b22311801598ef01a71094190","TR150.httpheaders.hackertarget-161701.02-referer-leakage","deceptive","httpheaders","2023-02-01 16:20:01.843000+00:00",15.309,1,11,"hack",False,True,False,"Set-Cookie: bbsessionhash=f3cdd7987b326584c6ee6696f3033087; path=/; HttpOnly",False,False,False,False,"",""
72,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","ac8c39f4d8df91bbbe659094a5e8ff94","TR150.filesystem.home-IconThor-backup-tar-gz","deceptive","filesystem","2023-02-01 16:20:56.705000+00:00",54.766,-1,-1,"neutral",True,False,False,"","","","","","",""
73,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","d30a6828ce93353f720485f7e58e3540","TR150.httpheaders.proxy-auth-leak","risky","httpheaders","2023-02-01 16:21:09.427000+00:00",12.64,0,7,"hack",False,True,False,"Proxy-Authorization: Basic dXNlcj1wcm94eTtwYXNzPTdMOUFDQ0FKS3BLU3A0",False,True,True,False,"",""
74,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","6f5c2b04afe13d2aeceffd5440ea36d0","TR856.httpheaders.outdated-apache-server-1.0.3-and-httpheader-apiserver","deceptive","httpheaders","2023-02-01 16:21:28.263000+00:00",18.751,0,4,"hack",False,True,False,"Set-Cookie: PHPSESSID=hLAGcA9qClz36kOr71sSgw; path=/",False,False,False,False,"",""
75,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","cf21a515c24d18b4d4968ce1580db8bd","TR856.networkrequests.mail_google_com.insufficient-logging-monitoring-and-path-traversal","deceptive","networkrequests","2023-02-01 16:24:55.717000+00:00",207.357,-1,-1,"neutral",True,False,False,"","","","","","",""
76,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","538b8fee03e7741fb9a8bdb449b83aaa","hackertarget-003375.03","neutral","httpheaders","2023-02-01 16:25:14.558000+00:00",18.446,0,5,"hack",False,True,False,"Set-Cookie: PHPSESSID=76eia055llsgecl8tata6grjm6; path=/",False,False,False,False,"",""
