"mrk_line","mrk_on_dcpt","mrk_on_risk","mrk_hack_on_dcpt","mrk_trap_on_dcpt","mrk_hack_on_risk","mrk_trap_on_risk","mrk_hack","mrk_trap","mrk_neutral","mrk_query_type","applied_honeywire","present_risk"
"-rw-r--r--  1 IconThor IconThor 3.5K Sep 17  2017 .bashrc",0,0,0,0,0,0,2,0,0,"filesystem","",""
"-rw-r--r--  1 cathy cathy    0 Dec  7 13:23 .sudo_as_admin_successful",0,0,0,0,0,0,8,7,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 cathy cathy  11K Dec  5 08:43 .zshrc",0,0,0,0,0,0,1,0,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 cathy cathy 129M Feb 21 12:40 backup.tar.gz",7,0,7,0,0,0,7,0,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 cathy cathy 3.5K Dec  5 08:43 .bashrc.original",0,0,0,0,0,0,3,0,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 cathy cathy 5.5K Dec  5 08:43 .bashrc",0,0,0,0,0,0,6,1,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 donald donald   17 Jul 19 22:40 file",0,0,0,0,0,0,4,0,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 donald donald   25 Jul 19 22:41 file2",0,0,0,0,0,0,4,0,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 donald donald  221 Aug 18 09:58 server.py",0,0,0,0,0,0,7,0,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 donald donald  221 Dec 29 10:18 server2.py",0,0,0,0,0,0,7,0,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 donald donald  46M Jun 29  2022 awscliv2.zip",0,0,0,0,0,0,3,0,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 donald donald  862 May 16  2022 .profile",0,0,0,0,0,0,1,0,0,"filesystem","",""
"-rw-r--r--  1 donald donald 9.7K Jun  6  2022 private-key.pem",17,0,12,5,0,0,12,5,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 elsa elsa  12K Feb  6  2022 keys.json",41,0,28,13,0,0,28,13,0,"filesystem","filesystem-keys",""
"-rw-r--r--  1 elsa elsa  367 Sep  4  2020 .wget-hsts",0,0,0,0,0,0,2,1,0,"filesystem","filesystem-keys",""
"-rw-r--r--  1 elsa elsa 3.1K Jun 13  2022 .zshrc",0,0,0,0,0,0,4,0,0,"filesystem","filesystem-keys",""
"-rw-r--r--  1 elsa elsa 3.5K Sep 17  2017 .bashrc",0,0,0,0,0,0,4,1,0,"filesystem","filesystem-keys",""
"-rw-r--r--  1 furi0zuc furi0zuc  458 Sep 17  2017 .setinterfaces",0,0,0,0,0,0,3,0,0,"filesystem","filesystem-config",""
"-rw-r--r--  1 furi0zuc furi0zuc  570 Jan 31  2010 .bashrc",0,0,0,0,0,0,1,0,0,"filesystem","",""
"-rw-r--r--  1 furi0zuc furi0zuc 9.7K Jun  6  2022 config.ini",8,0,8,0,0,0,8,0,0,"filesystem","filesystem-config",""
"-rw-r--r--  1 goofy goofy   64 Jun 16  2019 .gitconfig",0,0,0,0,0,0,10,1,0,"filesystem","",""
"-rw-r--r--  1 goofy goofy 3.5K Sep 17  2017 .bashrc",0,0,0,0,0,0,8,0,0,"filesystem","",""
"-rw-r--r--  1 goofy goofy 816M Nov 18  2020 nginx-proxy-logs.txt",0,0,0,0,0,0,18,2,0,"filesystem","",""
"-rw-r--r--  1 gringla gringla   88 Jul 11  2021 test.gpg",0,0,0,0,0,0,11,2,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 gringla gringla  25G Sep 25 18:08 vm-101-disk-0_003.qcow2",0,0,0,0,0,0,6,2,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 gringla gringla  25G Sep 25 18:13 vm-101-disk-0_002.qcow2",0,0,0,0,0,0,6,2,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 gringla gringla  25G Sep 25 18:17 vm-101-disk-0_001.qcow2",0,0,0,0,0,0,6,2,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 gringla gringla  25G Sep 25 18:23 vm-101-disk-0_000.qcow2",0,0,0,0,0,0,8,2,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 gringla gringla  367 Sep  4  2020 .wget-hsts",0,0,0,0,0,0,1,0,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 gringla gringla 3.3G Sep 25 18:01 vm-101-disk-0_004.qcow2",0,0,0,0,0,0,7,2,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 gringla gringla 9.7K Jun  6  2022 private-key.pem",11,0,9,2,0,0,9,2,0,"filesystem","filesystem-private-key",""
"-rw-r--r--  1 leonard leonard   64 Jun 16  2019 .gitconfig",0,0,0,0,0,0,20,1,0,"filesystem","filesystem-keys",""
"-rw-r--r--  1 leonard leonard  12K Feb  6  2022 keys.json",20,0,13,7,0,0,13,7,0,"filesystem","filesystem-keys",""
"-rw-r--r--  1 leonard leonard  25K Nov 20  2022 card3rz_reg_details.html",16,0,12,4,0,0,12,4,0,"filesystem","filesystem-card3rz",""
"-rw-r--r--  1 leonard leonard  43K Nov 20  2022 SPAM_list.pdf",14,0,5,9,0,0,5,9,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 leonard leonard  83K Nov 20  2022 customer_list_2010.html",21,0,12,9,0,0,12,9,0,"filesystem","filesystem-customer-list",""
"-rw-r--r--  1 leonard leonard 3.5K Sep 17  2017 .bashrc",0,0,0,0,0,0,4,0,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 leonard leonard 816M Nov 18  2020 nginx-proxy-logs.txt",0,0,0,0,0,0,14,2,0,"filesystem","filesystem-keys",""
"-rw-r--r--  1 leonard leonard 9.7K Jun  6  2022 config.ini",10,0,9,1,0,0,9,1,0,"filesystem","filesystem-config",""
"-rw-r--r--  1 leonard leonard 9.7K Jun  6  2022 passwords.txt",27,0,10,17,0,0,10,17,0,"filesystem","filesystem-passwords",""
"-rw-r--r--  1 lpc  lpc     0 Oct 17 12:39 .hushlogin",0,0,0,0,0,0,12,4,0,"filesystem","filesystem-customer-list",""
"-rw-r--r--  1 lpc  lpc     0 Oct 20 14:15 .sudo_as_admin_successful",0,0,0,0,0,0,14,22,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc    57 Nov 14 09:28 .gitconfig",0,0,0,0,0,0,15,0,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc    85 Nov 11 10:02 sent.json",0,0,0,0,0,0,7,0,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc   116 Nov 14 09:10 .yarnrc",0,0,0,0,0,0,2,0,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc   12K Feb  6  2022 keys.json",6,0,4,2,0,0,4,2,0,"filesystem","filesystem-keys",""
"-rw-r--r--  1 lpc  lpc   183 Dec 28 09:53 .wget-hsts",0,0,0,0,0,0,1,1,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc   24K Nov 21 14:40 units.json",0,0,0,0,0,0,7,0,0,"filesystem","filesystem-customer-list",""
"-rw-r--r--  1 lpc  lpc   27K Nov 11 12:14 card3rz_reg_details.html",14,0,10,4,0,0,10,4,0,"filesystem","filesystem-card3rz",""
"-rw-r--r--  1 lpc  lpc   43K Nov 11 12:14 SPAM_list.pdf",8,0,5,3,0,0,5,3,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc   807 Oct 17 12:38 .profile",0,0,0,0,0,0,1,0,0,"filesystem","filesystem-card3rz",""
"-rw-r--r--  1 lpc  lpc   83K Nov 11 12:14 customer_list_2010.html",14,0,11,3,0,0,11,3,0,"filesystem","filesystem-customer-list",""
"-rw-r--r--  1 lpc  lpc  1.3K Nov 10 17:49 metrics.json",0,0,0,0,0,0,6,0,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc  2.4K Nov 21 11:36 description.json",0,0,0,0,0,0,10,0,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc  4.6K Nov 28 15:21 metadata.csv",0,0,0,0,0,0,10,0,0,"filesystem","filesystem-customer-list",""
"-rw-r--r--  1 lpc  lpc  7.1K Nov 30 16:34 data.json",0,0,0,0,0,0,17,5,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc  8.1K Nov 24 10:18 data.csv",0,0,0,0,0,0,22,3,0,"filesystem","filesystem-spam-list",""
"-rw-r--r--  1 lpc  lpc  9.7K Jun  6  2022 passwords.txt",12,0,9,3,0,0,9,3,0,"filesystem","filesystem-passwords",""
"-rw-r--r--  1 mario mario  183 Oct  6 11:25 .wget-hsts",0,0,0,0,0,0,1,0,0,"filesystem","",""
"-rw-r--r--  1 niknad52 niknad52  111 Jun  6  2022 nsupdate.txt",0,0,0,0,0,0,3,1,0,"filesystem","","filesystem-dns-update-key"
"-rw-r--r--  1 niknad52 niknad52  167 Oct  2 13:57 ddns-update-key",0,13,0,0,9,4,9,4,0,"filesystem","","filesystem-dns-update-key"
"-rw-r--r--  1 niknad52 niknad52  426 Sep 27 09:48 .gitconfig",0,0,0,0,0,0,4,0,0,"filesystem","","filesystem-dns-update-key"
"-rw-r--r--  1 root     root       32 Sep 21  2017 .nanorc",0,0,0,0,0,0,0,1,0,"filesystem","","filesystem-openvpn-config"
"-rw-r--r--  1 root     root      167 Nov  3  2018 .gitconfig",0,0,0,0,0,0,9,0,0,"filesystem","filesystem-config",""
"-rw-r--r--  1 root     root      220 May  8  2018 .wget-hsts",0,0,0,0,0,0,6,3,0,"filesystem","filesystem-config",""
"-rw-r--r--  1 root     root      40M Sep 25 17:55 .duc.db",0,0,0,0,0,0,6,0,0,"filesystem","filesystem-config",""
"-rw-r--r--  1 salphard salphard  617 Oct  3 09:04 dead.letter",0,0,0,0,0,0,2,1,0,"filesystem","","filesystem-openvpn-config"
"-rw-r--r--  1 salphard salphard  675 Sep 17  2017 .profile",0,0,0,0,0,0,1,0,0,"filesystem","","filesystem-openvpn-config"
"-rw-r--r--  1 salphard salphard 3.5K Sep 17  2017 .bashrc",0,0,0,0,0,0,2,0,0,"filesystem","","filesystem-openvpn-config"
"-rw-r--r--  1 salphard salphard 4.9K Feb 14  2020 salphard.ovpn",0,12,0,0,11,1,11,1,0,"filesystem","","filesystem-openvpn-config"
"-rw-r--r--  1 salphard salphard 788K Nov  3  2020 log.txt",0,0,0,0,0,0,10,0,0,"filesystem","","filesystem-openvpn-config"
"-rw-r--r-- 1 cooper cooper 1.1K Nov 30 17:42 target_n_horiz",6,0,3,3,0,0,3,3,0,"filesystem","filesystem-rowe",""
"-rw-r--r-- 1 cooper cooper 1.2K Nov 30 17:42 examples",4,0,1,3,0,0,1,3,0,"filesystem","filesystem-rowe",""
"-rw-r--r-- 1 cooper cooper 1.4K Nov 30 17:42 template",2,0,1,1,0,0,1,1,0,"filesystem","filesystem-rowe",""
"-rw-r--r-- 1 cooper cooper 2.0K Nov 30 17:42 gif_files",2,0,0,2,0,0,0,2,0,"filesystem","filesystem-rowe",""
"-rw-r--r-- 1 cooper cooper 2.7K Nov 30 17:42 114564-01",8,0,5,3,0,0,5,3,0,"filesystem","filesystem-rowe",""
"-rw-r--r-- 1 cooper cooper 3.2K Nov 30 17:42 idlold",3,0,2,1,0,0,2,1,0,"filesystem","filesystem-rowe",""
"-rw-r--r-- 1 cooper cooper 5.2K Nov 30 17:42 wizard",4,0,2,2,0,0,2,2,0,"filesystem","filesystem-rowe",""
"-rw-r--r-- 1 cooper cooper 6.7K Nov 30 17:42 ass2",7,0,2,5,0,0,2,5,0,"filesystem","filesystem-rowe",""
"-rw-r--r-- 1 gaitan gaitan 1.1K Nov 30 17:42 rp",0,0,0,0,0,0,3,1,0,"filesystem","",""
"-rw-r--r-- 1 gaitan gaitan 1.2K Nov 30 17:42 int",0,0,0,0,0,0,4,1,0,"filesystem","",""
"-rw-r--r-- 1 gaitan gaitan 1.4K Nov 30 17:42 specv",0,0,0,0,0,0,5,1,0,"filesystem","",""
"-rw-r--r-- 1 gaitan gaitan 2.0K Nov 30 17:42 old.imsl",0,0,0,0,0,0,6,2,0,"filesystem","",""
"-rw-r--r-- 1 gaitan gaitan 2.7K Nov 30 17:42 flynn",0,0,0,0,0,0,1,2,0,"filesystem","",""
"-rw-r--r-- 1 gaitan gaitan 3.2K Nov 30 17:42 other",0,0,0,0,0,0,3,1,0,"filesystem","",""
"-rw-r--r-- 1 gaitan gaitan 5.2K Nov 30 17:42 trash",0,0,0,0,0,0,8,3,0,"filesystem","",""
"-rw-r--r-- 1 gaitan gaitan 6.7K Nov 30 17:42 gilmore",0,0,0,0,0,0,1,2,0,"filesystem","",""
"-rw-r--r--.  1 Plut0 Plut0  13M Jun 16  2022 backup.tar.gz",0,18,0,0,17,1,17,1,0,"filesystem","","filesystem-backup"
"-rw-r--r--.  1 root root   18 May 11  2019 .bash_logout",0,0,0,0,0,0,1,0,0,"filesystem","","filesystem-backup"
"-rw-r--r--.  1 root root  100 May 11  2019 .cshrc",0,0,0,0,0,0,2,0,0,"filesystem","","filesystem-private-key"
"-rw-r--r--.  1 root root  129 May 11  2019 .tcshrc",0,0,0,0,0,0,1,0,0,"filesystem","","filesystem-backup"
"-rw-r--r--.  1 root root  13M Jun 16  2022 mariadb.tar.gz",0,23,0,0,18,5,18,5,0,"filesystem","","filesystem-backup"
"-rw-r--r--.  1 root root  176 May 11  2019 .bashrc",0,0,0,0,0,0,3,0,0,"filesystem","","filesystem-kubernetes-manifests"
"-rw-r--r--.  1 root root  21K Jun 10  2022 k3s-selinux-1.2-2.el8.noarch.rpm",0,0,0,0,0,0,0,1,0,"filesystem","","filesystem-kubernetes-manifests"
"-rw-r--r--.  1 root root  21K May  7  2022 k3s-selinux-1.1-1.el8.noarch.rpm",0,0,0,0,0,0,0,1,0,"filesystem","","filesystem-kubernetes-manifests"
"-rw-r--r--.  1 root root  317 Jul 30 19:45 .wget-hsts",0,0,0,0,0,0,1,1,0,"filesystem","","filesystem-backup"
"-rw-r--r--.  1 root root  53M May  7  2022 k3s-bin-1.23.6+k3s1-4.el8.x86_64.rpm",0,0,0,0,0,0,0,2,0,"filesystem","","filesystem-kubernetes-manifests"
"-rw-r--r--.  1 root root  57M Jul 30 19:44 k3s-bin-1.24.3+k3s1-7.el8.x86_64.rpm",0,0,0,0,0,0,0,2,0,"filesystem","","filesystem-kubernetes-manifests"
"-rw-r--r--.  1 root root  70K May 22  2022 certs.tar.gz",0,15,0,0,13,2,13,2,0,"filesystem","","filesystem-private-key"
"-rw-r--r--.  1 root root 2.8K Jun  6  2022 letsencrypt.tar.gz",0,15,0,0,13,2,13,2,0,"filesystem","","filesystem-private-key"
"-rwxr--r--  1 lpc  lpc   919 Dec 28 14:31 query.sh",0,0,0,0,0,0,25,1,0,"filesystem","filesystem-spam-list",""
"-rwxr-xr-x  1 donald donald  320 Sep 28 15:08 ingest.sh",0,0,0,0,0,0,5,0,0,"filesystem","filesystem-private-key",""
"-rwxr-xr-x  1 donald donald  45M Sep 13 18:41 cmake-3.24.2-linux-x86_64.sh",0,0,0,0,0,0,0,1,0,"filesystem","filesystem-private-key",""
"-rwxr-xr-x  1 elsa elsa 3.9K Dec  5 16:02 buildcsv.py",0,0,0,0,0,0,6,0,0,"filesystem","filesystem-keys",""
"-rwxr-xr-x  1 lpc  lpc  3.9K Dec  5 16:02 buildcsv.py",0,0,0,0,0,0,3,1,0,"filesystem","filesystem-spam-list",""
"0",0,3,0,0,3,0,3,0,0,"httpheaders","","httpheaders-request-smuggling-clte"
"0.000 GET https://en.site.org/api/rest_v1/page/summary/Batman%3A_The_Animated_Series 200 OK (3.2 kB)",0,0,0,0,0,0,2,0,0,"networkrequests","networkrequests-dev-endpoint",""
"0.000 GET https://github.com/owner/my_repo 200 OK (318.4 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","networkrequests-idor-read-secrets",""
"0.000 GET https://i.stimg.com/generate_204 204 No Content (0.3 kB)",0,0,0,0,0,0,1,1,0,"networkrequests","networkrequests-dev-endpoint",""
"0.000 GET https://juice-shop.herokuapp.com/assets/public/images/products/apple_pressings.jpg 200 OK (29.2 kB)",0,0,0,0,0,0,1,1,0,"networkrequests","",""
"0.000 GET https://juice-shop.herokuapp.com/rest/admin/application-configuration 200 OK (7.2 kB)",0,0,0,0,0,0,4,3,0,"networkrequests","",""
"0.000 GET https://juice-shop.herokuapp.com/rest/basket/12 200 OK (0.2 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","","networkrequests-broken-object-level-authorization"
"0.000 GET https://juice-shop.herokuapp.com/rest/basket/23 200 OK (0.6 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","","networkrequests-dev-endpoint-accessible"
"0.000 GET https://juice-shop.herokuapp.com/rest/basket/NaN 200 OK (30 bytes)",0,0,0,0,0,0,2,2,0,"networkrequests","",""
"0.000 GET https://juice-shop.herokuapp.com/rest/continue-code 200 OK (79 bytes)",0,0,0,0,0,0,2,2,0,"networkrequests","",""
"0.000 GET https://juice-shop.herokuapp.com/rest/order-history 200 OK (0.4 kB)",0,0,0,0,0,0,1,0,0,"networkrequests","",""
"0.000 GET https://juice-shop.herokuapp.com/rest/products/1/details 200 OK (7.82 MB)",0,1,0,0,1,0,1,0,0,"networkrequests","","networkrequests-no-rate-limiting"
"0.000 GET https://juice-shop.herokuapp.com/rest/products/1/reviews 200 OK (0.5 kB)",0,0,0,0,0,0,3,1,0,"networkrequests","networkrequests-mass-assignment",""
"0.000 GET https://juice-shop.herokuapp.com/rest/products/search?q= 200 OK (3.9 kB)",0,0,0,0,0,0,3,0,0,"networkrequests","",""
"0.000 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (11 bytes)",0,0,0,0,0,0,16,8,0,"networkrequests","",""
"0.000 GET https://mail.site.com/mail/u/0/ 200 OK",0,0,0,0,0,0,3,0,0,"networkrequests","networkrequests-admin-false","networkrequests-mass-assignment"
"0.000 GET https://site.com/?SESSID=odq5CI18NZTqrl3uxWdF 200 OK (162.9 kB)",15,0,9,6,0,0,9,6,0,"networkrequests","networkrequests-sessid-parameter",""
